ID,Customer_ID,Age,Annual_Income,Monthly_Inhand_Salary,Monthly_Income,Monthly_Expenses,Outstanding_Debt,Number_of_Loans,Credit_Utilization_Ratio,Payment_Behaviour,Credit_Mix,Credit_History_Age,Num_Credit_Inquiries,Occupation,Type_of_Loan,Payment_of_Min_Amount,Num_Bank_Accounts,Num_Credit_Card,Credit_Score
1,CUST_00001,25,45000,3500,4000,2500,15000,2,0.65,Good,Good,8,3,Software_Engineer,Personal_Loan,Yes,2,1,Good
2,CUST_00002,35,75000,5500,6200,3500,25000,3,0.45,Good,Standard,15,2,Teacher,Home_Loan,Yes,3,2,Good
3,CUST_00003,45,120000,8000,9000,4500,35000,2,0.35,Good,Good,20,1,Doctor,Home_Loan,Yes,4,3,Good
4,CUST_00004,28,55000,4000,4500,2800,20000,2,0.75,Poor,Poor,10,5,Accountant,Personal_Loan,No,2,1,Standard
5,CUST_00005,52,95000,6500,7200,4000,40000,3,0.85,Poor,Poor,25,6,Manager,Car_Loan,No,3,2,Poor
6,CUST_00006,31,62000,4300,5000,3000,18000,2,0.55,Good,Standard,12,2,Technician,Personal_Loan,Yes,2,1,Standard
7,CUST_00007,42,105000,7200,8000,4200,30000,2,0.40,Good,Good,18,1,Consultant,Home_Loan,Yes,4,3,Good
8,CUST_00008,26,48000,3600,4200,2600,16000,2,0.70,Poor,Poor,9,4,Software_Engineer,Personal_Loan,No,2,1,Standard
9,CUST_00009,55,130000,9000,10000,5000,28000,2,0.30,Good,Good,22,1,Doctor,Credit_Card,Yes,4,4,Good
10,CUST_00010,33,68000,4800,5500,3200,22000,3,0.60,Standard,Standard,14,3,Teacher,Personal_Loan,Yes,3,2,Standard
11,CUST_00011,29,52000,3800,4400,2700,19000,2,0.72,Poor,Poor,11,5,Accountant,Car_Loan,No,2,1,Poor
12,CUST_00012,38,88000,6000,6800,3800,32000,3,0.50,Good,Standard,16,2,Manager,Home_Loan,Yes,3,2,Good
13,CUST_00013,47,115000,7800,8800,4500,25000,2,0.38,Good,Good,21,1,Consultant,Home_Loan,Yes,4,3,Good
14,CUST_00014,27,50000,3700,4300,2500,17000,2,0.68,Standard,Standard,10,4,Software_Engineer,Personal_Loan,Yes,2,1,Standard
15,CUST_00015,51,125000,8500,9500,4800,36000,3,0.42,Good,Good,23,2,Doctor,Credit_Card,Yes,4,3,Good
16,CUST_00016,30,60000,4200,4900,2900,21000,2,0.58,Poor,Poor,13,5,Technician,Personal_Loan,No,2,1,Standard
17,CUST_00017,41,98000,6800,7500,4100,28000,2,0.48,Good,Standard,19,2,Manager,Home_Loan,Yes,3,2,Good
18,CUST_00018,24,45000,3400,4000,2400,14000,1,0.62,Standard,Standard,8,3,Accountant,Personal_Loan,Yes,2,1,Standard
19,CUST_00019,54,135000,9200,10200,5200,32000,2,0.35,Good,Good,24,1,Consultant,Credit_Card,Yes,4,4,Good
20,CUST_00020,32,65000,4600,5300,3100,20000,3,0.55,Good,Standard,15,2,Teacher,Personal_Loan,Yes,3,2,Good
21,CUST_00021,28,48000,3600,4200,2600,18000,2,0.70,Poor,Poor,10,4,Software_Engineer,Car_Loan,No,2,1,Poor
22,CUST_00022,39,80000,5600,6400,3600,24000,2,0.52,Good,Standard,17,2,Manager,Personal_Loan,Yes,3,2,Good
23,CUST_00023,48,110000,7500,8500,4400,34000,3,0.45,Good,Good,22,1,Doctor,Home_Loan,Yes,4,3,Good
24,CUST_00024,25,50000,3700,4400,2500,16000,2,0.65,Standard,Standard,9,3,Technician,Personal_Loan,Yes,2,1,Standard
25,CUST_00025,53,128000,8700,9700,4900,38000,2,0.40,Good,Good,25,1,Consultant,Credit_Card,Yes,4,4,Good
26,CUST_00026,29,55000,4000,4600,2700,19000,2,0.68,Poor,Poor,11,5,Accountant,Personal_Loan,No,2,1,Standard
27,CUST_00027,37,85000,5900,6700,3700,26000,3,0.50,Good,Standard,16,2,Teacher,Home_Loan,Yes,3,2,Good
28,CUST_00028,44,100000,7000,7800,4200,30000,2,0.42,Good,Good,20,1,Manager,Home_Loan,Yes,4,3,Good
29,CUST_00029,26,48000,3600,4200,2600,17000,2,0.66,Standard,Standard,10,4,Software_Engineer,Personal_Loan,Yes,2,1,Standard
30,CUST_00030,49,120000,8000,9000,4600,33000,3,0.38,Good,Good,23,1,Doctor,Credit_Card,Yes,4,4,Good
